edge,bandwidth
"CHQ-1,APC-0",100000000
"CHQ-1,APC-1",100000000
"CHQ-1,APC-2",100000000
"CHQ-1,APC-3",100000000
"APC-0,APC-1",100000000
"APC-0,APC-2",100000000
"APC-0,APC-3",100000000
"APC-0,PLT-0",100000000
"APC-0,PLT-1",100000000
"APC-0,PLT-2",100000000
"APC-0,PLT-3",100000000
"APC-0,PLT-4",100000000
"APC-0,UGS-0",100000000
"APC-0,UGS-11",100000000
"APC-1,APC-2",100000000
"APC-1,APC-3",100000000
"APC-1,PLT-5",100000000
"APC-1,PLT-6",100000000
"APC-1,PLT-7",100000000
"APC-1,UGS-12",100000000
"APC-1,UGS-18",100000000
"APC-2,APC-3",100000000
"APC-2,PLT-8",100000000
"APC-2,PLT-9",100000000
"APC-2,PLT-10",100000000
"APC-2,UGS-19",100000000
"APC-2,UGS-27",100000000
"APC-3,PLT-11",100000000
"PLT-0,PLT-1",100000000
"PLT-0,PLT-2",100000000
"PLT-0,PLT-3",100000000
"PLT-0,PLT-4",100000000
"PLT-0,UGS-0",100000000
"PLT-0,UGS-1",100000000
"PLT-1,PLT-2",100000000
"PLT-1,PLT-3",100000000
"PLT-1,PLT-4",100000000
"PLT-1,UGS-2",100000000
"PLT-2,PLT-3",100000000
"PLT-2,PLT-4",100000000
"PLT-2,UGS-3",100000000
"PLT-3,PLT-4",100000000
"PLT-3,UGS-4",100000000
"PLT-3,UGS-5",100000000
"PLT-3,UGS-6",100000000
"PLT-3,UGS-7",100000000
"PLT-4,UGS-7",100000000
"PLT-4,UGS-8",100000000
"PLT-4,UGS-9",100000000
"PLT-4,UGS-10",100000000
"PLT-5,PLT-6",100000000
"PLT-5,PLT-7",100000000
"PLT-5,UGS-12",100000000
"PLT-5,UGS-14",100000000
"PLT-5,UGS-15",100000000
"PLT-5,UGS-16",100000000
"PLT-5,UGS-17",100000000
"PLT-6,PLT-7",100000000
"PLT-6,UGS-16",100000000
"PLT-6,UGS-17",100000000
"PLT-7,UGS-13",100000000
"PLT-7,UGS-18",100000000
"PLT-8,PLT-9",100000000
"PLT-8,PLT-10",100000000
"PLT-8,UGS-19",100000000
"PLT-8,UGS-20",100000000
"PLT-8,UGS-27",100000000
"PLT-9,PLT-10",100000000
"PLT-9,UGS-21",100000000
"PLT-9,UGS-22",100000000
"PLT-9,UGS-27",100000000
"PLT-10,UGS-22",100000000
"PLT-10,UGS-23",100000000
"PLT-10,UGS-24",100000000
"PLT-10,UGS-25",100000000
"PLT-10,UGS-26",100000000
"PLT-10,UGS-27",100000000
"PLT-11,UGS-28",100000000
"PLT-11,UGS-29",100000000
