model_name,image_quality,top1,top5
mbnv2_0p,100,71.878,90.286
mbnv2_0p,90,71.718,90.246
mbnv2_0p,80,71.452,90.144
mbnv2_0p,70,71.06,89.786
mbnv2_0p,60,70.602,89.578
mbnv2_0p,50,69.958,89.304
mbnv2_0p,40,69.332,88.95
mbnv2_0p,30,68.164,88.314
mbnv2_0p,20,65.896,86.798
mbnv2_0p,10,57.908,81.06
mbnv2_10p,100,69.426,89.16
mbnv2_10p,90,69.224,89.182
mbnv2_10p,80,68.932,88.946
mbnv2_10p,70,68.422,88.726
mbnv2_10p,60,67.91,88.338
mbnv2_10p,50,67.42,87.986
mbnv2_10p,40,66.756,87.474
mbnv2_10p,30,65.582,86.908
mbnv2_10p,20,63.254,85.27
mbnv2_10p,10,54.236,78.672
mbnv2_20p,100,68.504,88.698
mbnv2_20p,90,68.34,88.596
mbnv2_20p,80,68.162,88.432
mbnv2_20p,70,67.748,88.106
mbnv2_20p,60,67.2,87.854
mbnv2_20p,50,66.662,87.544
mbnv2_20p,40,65.98,87.044
mbnv2_20p,30,64.762,86.268
mbnv2_20p,20,62.106,84.68
mbnv2_20p,10,52.606,77.286
mbnv2_30p,100,63.288,85.338
mbnv2_30p,90,63.178,85.098
mbnv2_30p,80,62.956,85.016
mbnv2_30p,70,62.636,84.726
mbnv2_30p,60,62.19,84.408
mbnv2_30p,50,61.742,84.086
mbnv2_30p,40,60.932,83.61
mbnv2_30p,30,59.96,82.94
mbnv2_30p,20,57.442,81.238
mbnv2_30p,10,48.362,73.606
mbnv2_40p,100,55.862,79.31
mbnv2_40p,90,55.7,79.318
mbnv2_40p,80,55.54,79.138
mbnv2_40p,70,55.118,79.096
mbnv2_40p,60,54.562,78.674
mbnv2_40p,50,54.26,78.31
mbnv2_40p,40,53.616,77.924
mbnv2_40p,30,52.52,76.888
mbnv2_40p,20,49.748,74.598
mbnv2_40p,10,39.52,64.894
mbnv2_50p,100,52.182,76.334
mbnv2_50p,90,52.15,76.224
mbnv2_50p,80,51.87,76.018
mbnv2_50p,70,51.648,75.812
mbnv2_50p,60,51.158,75.61
mbnv2_50p,50,50.798,75.256
mbnv2_50p,40,50.352,74.872
mbnv2_50p,30,49.284,73.962
mbnv2_50p,20,46.716,71.622
mbnv2_50p,10,36.464,61.042
mbnv2_60p,100,50.92,75.08
mbnv2_60p,90,50.87,75.002
mbnv2_60p,80,50.684,74.884
mbnv2_60p,70,50.494,74.636
mbnv2_60p,60,50.11,74.394
mbnv2_60p,50,49.668,74.054
mbnv2_60p,40,49.144,73.606
mbnv2_60p,30,47.984,72.774
mbnv2_60p,20,45.18,70.282
mbnv2_60p,10,35.436,60.096
ACDNet_0p,100,86.25,97.74
ACDNet_10p,100,82.5,96.49
ACDNet_20p,100,82.25,96.24
ACDNet_30p,100,81.25,94.98
ACDNet_40p,100,78,93.98
ACDNet_50p,100,70.25,90.72
ACDNet_60p,100,55.75,84.96
ResNet50_0p,100,75.138,92.34
ResNet50_10p,100,73.64,92.01
ResNet50_20p,100,68.23,89.72
ResNet50_30p,100,58.65,83.42
ResNet50_40p,100,56.21,79.75
ResNet50_50p,100,52.87,78.86
ResNet50_60p,100,49.86,75.11
