allocatable_millicpu_cores,cpu_available,cpu_requested_av,cpu_usage_idle,has_gpu,memory_available,resource_requests_millicpu_units,scenario_node
6000,6000,4900,4360.988937,TRUE,15126560768,1100,APC-0
6000,6000,4900,4806.431394,TRUE,13133537280,1100,APC-1
6000,6000,4900,4406.048594,TRUE,15099428864,1100,APC-2
6000,6000,4900,5113.04032,TRUE,15227273216,1100,APC-3
6000,6000,4900,4326.561631,TRUE,15208738816,1100,PLT-0
6000,6000,4800,4498.570603,TRUE,14907891712,1200,PLT-1
6000,6000,5700,3950.997205,FALSE,15285665792,300,PLT-10
6000,6000,5900,5226.663115,FALSE,15208574976,100,PLT-11
6000,6000,4900,4770.537366,TRUE,15206793216,1100,PLT-2
6000,6000,5900,4361.828621,FALSE,15270047744,100,PLT-3
6000,6000,5800,4019.79122,FALSE,15287287808,200,PLT-4
6000,6000,5900,4103.07111,FALSE,15290208256,100,PLT-5
6000,6000,5900,5672.244908,FALSE,15311310848,100,PLT-6
6000,6000,5800,4215.21767,FALSE,15283535872,200,PLT-7
6000,6000,5700,5772.258015,FALSE,13747347456,300,PLT-8
6000,6000,5900,5860.023028,FALSE,15247691776,100,PLT-9
2000,2000,1900,1480.513386,FALSE,2782949376,100,UGS-0
2000,2000,1900,1689.139413,FALSE,2794905600,100,UGS-1
2000,2000,1900,1084.559029,FALSE,2810900480,100,UGS-10
2000,2000,1900,1705.934836,FALSE,2812870656,100,UGS-11
2000,2000,1900,1727.212694,FALSE,2815242240,100,UGS-12
2000,2000,1900,1488.813639,FALSE,2801766400,100,UGS-13
2000,2000,1900,1793.90434,FALSE,2833293312,100,UGS-14
2000,2000,1900,1691.728257,FALSE,2802569216,100,UGS-15
2000,2000,1900,1305.605769,FALSE,2798395392,100,UGS-16
2000,2000,1900,1499.46333,FALSE,2801504256,100,UGS-17
2000,2000,1900,1153.305349,FALSE,2797051904,100,UGS-18
2000,2000,1900,1712.623093,FALSE,2799243264,100,UGS-19
2000,2000,1800,1682.235075,FALSE,2785419264,200,UGS-2
2000,2000,1900,1688.065417,FALSE,2767118336,100,UGS-20
2000,2000,1900,1707.958685,FALSE,2808864768,100,UGS-21
2000,2000,1900,1697.324401,FALSE,2791559168,100,UGS-22
2000,2000,1900,1724.476912,FALSE,2816610304,100,UGS-23
2000,2000,1900,1700.450906,FALSE,2811113472,100,UGS-24
2000,2000,1900,1680.729021,FALSE,2796363776,100,UGS-25
2000,2000,1900,1675.989898,FALSE,2810183680,100,UGS-26
2000,2000,1900,1482.056399,FALSE,2766614528,100,UGS-27
2000,2000,1900,1708.865341,FALSE,2802929664,100,UGS-28
2000,2000,1900,1696.225992,FALSE,2881708032,100,UGS-29
2000,2000,1900,1709.594357,FALSE,2793861120,100,UGS-3
2000,2000,1900,1698.808844,FALSE,2813607936,100,UGS-4
2000,2000,1900,1918.682168,FALSE,2851819520,100,UGS-5
2000,2000,1900,1703.996742,FALSE,2803568640,100,UGS-6
2000,2000,1900,1123.559486,FALSE,2807406592,100,UGS-7
2000,2000,1900,1095.043148,FALSE,2814291968,100,UGS-8
2000,2000,1900,1746.189205,FALSE,2833502208,100,UGS-9
